Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,119.410004,120.529999,117.830002,120.269997,120.269997,1589200
2015-07-02,120.680000,120.690002,118.370003,119.459999,119.459999,1030100
2015-07-06,118.349998,120.459999,118.040001,119.629997,119.629997,1537400
2015-07-07,119.559998,121.260002,118.849998,121.199997,121.199997,1563700
2015-07-08,120.220001,121.419998,119.379997,120.070000,120.070000,1672400
2015-07-09,121.589996,122.120003,119.750000,120.260002,120.260002,942400
2015-07-10,122.250000,123.290001,121.500000,122.440002,122.440002,959200
2015-07-13,123.120003,123.709999,121.120003,121.570000,121.570000,870400
2015-07-14,121.809998,124.540001,120.790001,124.040001,124.040001,794000
2015-07-15,124.690002,126.269997,123.540001,124.629997,124.629997,1283800
2015-07-16,125.000000,125.360001,124.110001,124.320000,124.320000,674200
2015-07-17,124.320000,125.000000,122.360001,123.139999,123.139999,530500
2015-07-20,123.129997,123.949997,122.000000,122.940002,122.940002,601700
2015-07-21,122.900002,124.040001,121.760002,123.980003,123.980003,716300
2015-07-22,123.989998,126.650002,123.820000,126.510002,126.510002,764500
2015-07-23,127.000000,127.000000,124.239998,124.989998,124.989998,573800
2015-07-24,124.320000,125.949997,122.389999,123.820000,123.820000,732300
2015-07-27,122.949997,123.269997,120.690002,123.080002,123.080002,815800
2015-07-28,123.169998,123.910004,121.589996,123.870003,123.870003,739400
2015-07-29,124.580002,125.269997,121.849998,122.730003,122.730003,1630500
2015-07-30,122.599998,122.599998,119.559998,121.699997,121.699997,859000
2015-07-31,122.000000,124.139999,121.809998,123.959999,123.959999,924300
2015-08-03,124.250000,125.349998,122.389999,124.209999,124.209999,744900
2015-08-04,120.769997,122.040001,101.949997,106.730003,106.730003,6685700
2015-08-05,106.739998,106.900002,102.349998,104.510002,104.510002,4242800
2015-08-06,104.190002,104.389999,94.900002,98.489998,98.489998,6466000
2015-08-07,98.500000,100.699997,96.150002,100.379997,100.379997,2790000
2015-08-10,100.570000,103.849998,96.949997,103.500000,103.500000,2428100
2015-08-11,102.860001,103.500000,100.239998,102.330002,102.330002,1515500
2015-08-12,102.139999,102.260002,98.860001,100.199997,100.199997,1500800
2015-08-13,100.570000,101.459999,97.529999,98.029999,98.029999,1627400
2015-08-14,98.000000,98.919998,97.660004,98.540001,98.540001,1108700
2015-08-17,97.989998,99.610001,97.510002,98.839996,98.839996,1365700
2015-08-18,98.489998,99.860001,97.000000,97.790001,97.790001,1492600
2015-08-19,97.580002,98.000000,94.440002,95.489998,95.489998,1611000
2015-08-20,93.489998,94.680000,88.730003,89.440002,89.440002,3807100
2015-08-21,88.230003,90.220001,86.510002,88.300003,88.300003,4011900
2015-08-24,83.160004,86.260002,81.830002,81.959999,81.959999,3907800
2015-08-25,84.250000,84.739998,78.570000,78.660004,78.660004,3975700
2015-08-26,81.370003,86.480003,80.239998,85.820000,85.820000,3978800
2015-08-27,86.720001,90.639999,86.720001,89.169998,89.169998,2625200
2015-08-28,88.690002,90.199997,87.800003,89.930000,89.930000,1697700
2015-08-31,89.510002,90.449997,85.650002,86.239998,86.239998,1561200
2015-09-01,84.290001,87.680000,83.629997,84.059998,84.059998,1461300
2015-09-02,85.480003,85.720001,82.449997,84.370003,84.370003,2184500
2015-09-03,85.019997,85.879997,82.169998,82.779999,82.779999,1541100
2015-09-04,82.220001,83.930000,81.800003,82.860001,82.860001,1264300
2015-09-08,84.730003,85.699997,83.930000,85.500000,85.500000,1359800
2015-09-09,86.169998,87.279999,83.379997,83.620003,83.620003,1360500
2015-09-10,83.620003,84.919998,82.800003,83.000000,83.000000,1002600
2015-09-11,82.739998,82.849998,80.779999,82.080002,82.080002,1374800
2015-09-14,82.269997,82.610001,81.029999,81.690002,81.690002,871600
2015-09-15,82.000000,83.500000,81.199997,83.300003,83.300003,982400
2015-09-16,83.089996,84.279999,82.239998,83.610001,83.610001,1383400
2015-09-17,83.680000,86.059998,83.029999,84.949997,84.949997,1526800
2015-09-18,83.919998,83.919998,81.680000,82.099998,82.099998,2573600
2015-09-21,81.750000,81.750000,72.809998,73.870003,73.870003,6822200
2015-09-22,72.839996,75.510002,72.000000,72.900002,72.900002,3532100
2015-09-23,73.250000,73.919998,71.440002,71.639999,71.639999,1282200
2015-09-24,70.690002,70.959999,67.309998,70.139999,70.139999,3066900
2015-09-25,71.080002,71.099998,67.570000,68.449997,68.449997,2480300
2015-09-28,68.190002,68.760002,58.279999,59.799999,59.799999,8874400
2015-09-29,59.570000,61.689999,56.570000,57.959999,57.959999,6621400
2015-09-30,59.709999,64.220001,59.450001,63.939999,63.939999,4827300
2015-10-01,63.930000,64.199997,61.369999,63.480000,63.480000,4081800
2015-10-02,61.750000,65.879997,61.630001,65.870003,65.870003,3937900
2015-10-05,66.309998,66.860001,61.259998,61.410000,61.410000,3862500
2015-10-06,63.139999,66.500000,59.720001,62.980000,62.980000,6270200
2015-10-07,63.200001,66.279999,61.849998,65.269997,65.269997,3871900
2015-10-08,64.870003,69.379997,64.589996,68.540001,68.540001,3795700
2015-10-09,69.000000,69.180000,66.129997,66.730003,66.730003,2360000
2015-10-12,66.750000,67.250000,64.629997,65.889999,65.889999,1379600
2015-10-13,65.699997,67.349998,64.839996,64.989998,64.989998,2555200
2015-10-14,65.879997,67.370003,64.260002,65.580002,65.580002,2089400
2015-10-15,62.889999,67.190002,62.400002,66.900002,66.900002,2425200
2015-10-16,67.290001,68.680000,66.779999,68.129997,68.129997,1736900
2015-10-19,67.699997,68.489998,66.500000,67.620003,67.620003,2229500
2015-10-20,67.190002,67.470001,63.450001,64.070000,64.070000,3905400
2015-10-21,64.389999,64.709999,55.299999,60.480000,60.480000,5930300
2015-10-22,60.570000,60.970001,56.160000,58.610001,58.610001,4354500
2015-10-23,59.570000,69.690002,59.570000,65.750000,65.750000,4520400
2015-10-26,65.110001,67.720001,63.689999,66.959999,66.959999,3311700
2015-10-27,67.089996,68.389999,65.300003,67.900002,67.900002,2148200
2015-10-28,67.570000,73.279999,67.029999,70.089996,70.089996,2962800
2015-10-29,70.089996,73.680000,69.430000,69.989998,69.989998,2264600
2015-10-30,69.910004,70.709999,65.550003,65.669998,65.669998,2714200
2015-11-02,66.480003,69.099998,66.410004,67.790001,67.790001,2231800
2015-11-03,67.919998,70.510002,67.059998,70.309998,70.309998,1562400
2015-11-04,70.410004,73.360001,69.599998,70.629997,70.629997,2187100
2015-11-05,70.339996,71.419998,65.459999,66.510002,66.510002,2715700
2015-11-06,67.349998,70.349998,65.769997,69.889999,69.889999,2433700
2015-11-09,70.000000,70.209999,52.009998,58.009998,58.009998,12305200
2015-11-10,57.570000,64.680000,54.169998,62.580002,62.580002,14017300
2015-11-11,61.759998,62.939999,56.250000,57.119999,57.119999,5374100
2015-11-12,56.189999,56.360001,52.590000,53.410000,53.410000,7330800
2015-11-13,53.220001,57.680000,53.070000,56.939999,56.939999,3865500
2015-11-16,56.500000,58.959999,55.369999,57.220001,57.220001,2891500
2015-11-17,57.130001,60.709999,55.230000,57.500000,57.500000,2504500
2015-11-18,56.450001,57.799999,55.560001,57.610001,57.610001,3080400
2015-11-19,58.150002,60.540001,56.459999,60.080002,60.080002,3360100
2015-11-20,59.810001,62.990002,59.599998,61.000000,61.000000,2474500
2015-11-23,65.800003,66.930000,63.389999,66.099998,66.099998,6017100
2015-11-24,65.040001,67.620003,65.000000,66.089996,66.089996,2495100
2015-11-25,65.989998,67.980003,65.910004,66.059998,66.059998,1654100
2015-11-27,66.320000,67.300003,66.150002,66.290001,66.290001,735700
2015-11-30,66.400002,68.519997,65.199997,67.910004,67.910004,2307500
2015-12-01,68.449997,71.510002,67.419998,71.480003,71.480003,3026600
2015-12-02,71.239998,74.480003,71.120003,72.360001,72.360001,3872700
2015-12-03,74.339996,76.500000,71.730003,72.199997,72.199997,6093200
2015-12-04,72.300003,74.830002,71.949997,74.730003,74.730003,2260200
2015-12-07,74.980003,75.930000,71.349998,74.730003,74.730003,3243900
2015-12-08,73.440002,73.760002,69.769997,72.150002,72.150002,3218900
2015-12-09,71.830002,73.199997,69.919998,70.879997,70.879997,2700900
2015-12-10,70.919998,71.919998,70.080002,71.239998,71.239998,1464900
2015-12-11,70.150002,71.010002,67.459999,69.370003,69.370003,2073000
2015-12-14,69.699997,71.540001,66.980003,69.220001,69.220001,1618300
2015-12-15,70.870003,74.279999,70.699997,73.639999,73.639999,2581600
2015-12-16,73.949997,74.820000,72.320000,74.449997,74.449997,1625500
2015-12-17,74.430000,74.790001,70.279999,71.620003,71.620003,1800000
2015-12-18,71.620003,73.220001,70.870003,71.239998,71.239998,1950800
2015-12-21,71.940002,72.389999,70.550003,71.639999,71.639999,1266200
2015-12-22,72.529999,74.940002,72.019997,74.760002,74.760002,1235100
2015-12-23,75.260002,77.570000,75.029999,76.660004,76.660004,1389200
2015-12-24,76.169998,77.190002,76.080002,76.400002,76.400002,631900
2015-12-28,75.610001,76.660004,73.820000,74.279999,74.279999,1081800
2015-12-29,74.800003,74.940002,73.730003,74.129997,74.129997,729200
2015-12-30,74.230003,77.239998,74.150002,75.879997,75.879997,897800
2015-12-31,75.129997,76.000000,74.250000,74.629997,74.629997,1101900
